[DEBUG] 2021-03-02 22:14:49.450 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-03-02 22:14:49.462 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-03-02 22:14:49.491 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-03-02 22:14:49.752 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-03-02 22:14:49.760 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-03-02 22:14:50.270 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-03-02 22:14:50.274 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-03-02 22:14:50.290 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-03-02 22:14:50.963 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-03-02 22:14:51.028 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-03-02 22:14:51.029 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-03-02 22:14:51.069 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-03-02 22:14:51.176 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@fcc6023
[DEBUG] 2021-03-02 22:14:51.176 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@fcc6023
[DEBUG] 2021-03-02 22:14:51.176 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@fcc6023
[DEBUG] 2021-03-02 22:14:51.177 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@472a11ae
[DEBUG] 2021-03-02 22:14:51.178 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@51288417
[DEBUG] 2021-03-02 22:14:51.180 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@fd9ebde
[DEBUG] 2021-03-02 22:14:51.183 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@7899de11
[DEBUG] 2021-03-02 22:14:51.183 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@7899de11
[DEBUG] 2021-03-02 22:14:51.183 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@7899de11
[DEBUG] 2021-03-02 22:14:51.186 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@5300cac
